SeasonEndYear,Squad,Comp,Player,Sh_Standard,SoT_Standard,Cmp_Total,Att_Total,Cmp_percent_Total,TotDist_Total,PrgDist_Total,Final_Third,PPA,SCA_SCA,TO_SCA,PassLive_SCA,Sh_SCA,Fld_SCA,Def_SCA,GCA_GCA,PassLive_GCA,TO_GCA,Sh_GCA,Fld_GCA,Def_GCA,TklW_Tackles,def_3rd_tackles,mid_3rd_tackles,att_3rd_tackles,Tkl_Challenges,Att_Challenges,Tkl_percent_Challenges,Blocks_Blocks,Sh_Blocks,Pass_Blocks,Int,tkl_plus_int,Clr,Err
2024,Everton,Premier League,Youssef Chermiti,4,1,12,19,63.2,173,26,0,1,3,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,1,0,0,0,0
2024,Everton,Premier League,Séamus Coleman,0,0,63,101,62.4,1015,525,6,1,2,1,1,0,0,0,0,0,0,0,0,0,7,5,1,2,5,8,62.5,3,2,1,3,11,11,0
2024,Everton,Premier League,Arnaut Danjuma,25,9,102,152,67.1,1420,357,6,2,18,1,9,5,2,1,1,0,0,1,0,0,4,2,3,1,1,4,25,4,0,4,3,9,0,0
2024,Everton,Premier League,Lewis Dobbin,4,2,31,49,63.3,393,78,0,2,5,0,2,2,1,0,0,0,0,0,0,0,5,3,2,1,4,8,50,4,1,3,1,7,0,0
2024,Everton,Premier League,Abdoulaye Doucouré,34,16,451,588,76.7,6305,1502,34,12,53,0,45,6,1,1,4,2,0,2,0,0,18,13,11,5,13,30,43.3,19,2,17,13,42,11,0
2024,Everton,Premier League,Idrissa Gana Gueye,20,3,503,603,83.4,7837,2008,45,6,38,0,26,5,2,5,3,3,0,0,0,0,36,22,19,12,20,36,55.6,16,3,13,19,72,10,0
2024,Everton,Premier League,James Garner,31,9,720,932,77.3,12470,3530,78,19,78,3,42,5,3,5,8,3,0,1,1,2,34,27,29,10,28,69,40.6,36,10,26,37,103,38,1
2024,Everton,Premier League,Ben Godfrey,8,2,176,254,69.3,3161,1484,18,4,14,0,7,4,0,2,2,1,0,0,0,1,14,11,5,4,10,20,50,9,4,5,6,26,27,0
2024,Everton,Premier League,André Gomes,4,3,59,81,72.8,1041,390,9,3,7,0,6,1,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,6,0,6,1,2,0,0
2024,Everton,Premier League,Jack Harrison,23,8,286,462,61.9,4126,1704,24,26,48,2,34,5,5,1,6,4,0,1,1,0,10,4,9,8,10,34,29.4,15,0,15,9,30,18,0
2024,Everton,Premier League,Alex Iwobi,4,2,27,42,64.3,545,179,1,3,12,2,6,3,0,0,0,0,0,0,0,0,0,1,0,1,2,3,66.7,2,0,2,1,3,0,0
2024,Everton,Premier League,Michael Keane,6,4,152,195,77.9,3188,1127,12,0,4,0,3,1,0,0,1,0,0,1,0,0,3,3,3,1,1,6,16.7,4,4,0,5,12,18,1
2024,Everton,Premier League,Neal Maupay,5,4,22,26,84.6,353,14,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,2,0,0,1,0
2024,Everton,Premier League,Dwight McNeil,38,11,541,806,67.1,9210,3056,43,34,76,4,49,1,4,2,4,1,0,0,0,0,16,12,9,8,16,40,40,35,6,29,14,43,26,0
2024,Everton,Premier League,Vitaliy Mykolenko,22,5,683,920,74.2,10551,4440,34,13,30,1,26,3,0,0,2,0,0,2,0,0,34,40,19,1,35,55,63.6,28,10,18,32,92,73,0
2024,Everton,Premier League,Amadou Onana,22,5,640,764,83.8,10696,2926,71,11,45,1,38,3,3,0,0,0,0,0,0,0,31,25,20,7,14,30,46.7,16,2,14,11,63,22,0
2024,Everton,Premier League,Tyler Onyango,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0
2024,Everton,Premier League,Nathan Patterson,4,0,367,512,71.7,5741,2638,30,14,19,0,13,1,0,2,2,2,0,0,0,0,23,21,10,2,14,37,37.8,14,3,11,9,42,32,0
2024,Everton,Premier League,Jordan Pickford,0,0,719,1106,65,23912,18989,62,4,19,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,1,0,1,0,0,13,0
2024,Everton,Premier League,James Tarkowski,18,3,855,1125,76,18304,7777,92,18,30,1,25,3,0,1,2,2,0,0,0,0,26,28,12,0,19,32,59.4,60,41,19,48,88,131,2
2024,Everton,Premier League,Ashley Young,9,1,503,731,68.8,9081,4157,40,20,42,0,27,4,2,1,0,0,0,0,0,0,20,14,11,4,17,35,48.6,14,5,9,16,45,32,2
2024,Fulham,Premier League,Tosin Adarabioyo,9,3,623,741,84.1,12733,4662,26,2,6,0,3,3,0,0,0,0,0,0,0,0,8,10,4,0,10,14,71.4,11,8,3,17,31,58,0
2024,Fulham,Premier League,Fodé Ballo-Touré,0,0,50,70,71.4,881,200,3,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,2,0,1,1,100,1,0,1,3,6,2,0
2024,Fulham,Premier League,Calvin Bassey,3,1,821,955,86,15601,5167,39,1,5,0,4,1,0,0,1,0,0,1,0,0,15,15,9,1,8,12,66.7,19,8,11,21,46,43,3
2024,Fulham,Premier League,Armando Broja,0,0,7,11,63.6,59,22,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,1,0,1,0,0,0,0
2024,Fulham,Premier League,Tom Cairney,12,5,875,993,88.1,13551,2972,69,19,50,0,44,1,1,2,11,10,0,0,1,0,13,10,9,2,11,23,47.8,14,3,11,13,34,5,0
2024,Fulham,Premier League,Timothy Castagne,11,2,1013,1240,81.7,15961,5687,58,15,39,3,30,3,0,1,0,0,0,0,0,0,17,15,12,9,20,31,64.5,27,7,20,32,68,53,1
2024,Fulham,Premier League,Issa Diop,4,1,804,910,88.4,14951,5431,55,2,4,0,4,0,0,0,0,0,0,0,0,0,12,17,5,1,11,16,68.8,20,14,6,12,35,63,1
2024,Fulham,Premier League,Luke Harris,1,1,11,14,78.6,172,14,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,1,0,0
2024,Fulham,Premier League,Alex Iwobi,36,12,515,644,80,8294,2502,50,22,55,5,42,8,0,0,7,5,0,2,0,0,11,7,8,1,7,18,38.9,9,0,9,13,29,5,0
2024,Fulham,Premier League,Raúl Jiménez,36,15,216,323,66.9,2830,529,16,8,24,4,13,6,0,1,3,0,1,2,0,0,10,3,7,3,6,17,35.3,9,2,7,3,16,12,0
2024,Fulham,Premier League,Bernd Leno,0,0,866,1103,78.5,21137,12727,17,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,12,1
2024,Fulham,Premier League,Saša Lukić,6,1,248,285,87,3978,947,19,3,12,0,8,3,0,1,0,0,0,0,0,0,9,4,9,5,8,18,44.4,7,3,4,8,26,9,1
2024,Fulham,Premier League,Aleksandar Mitrović,2,1,4,8,50,78,24,1,1,2,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0
2024,Fulham,Premier League,Rodrigo Muniz,33,11,71,125,56.8,937,227,5,4,16,1,10,0,3,2,0,0,0,0,0,0,2,0,3,0,0,3,0,6,2,4,4,7,11,0
2024,Fulham,Premier League,João Palhinha,24,9,726,885,82,12785,3241,60,2,17,0,13,2,0,1,2,1,0,1,0,0,55,61,34,10,70,106,66,42,7,35,36,141,40,0
2024,Fulham,Premier League,Andreas Pereira,34,9,630,893,70.5,11082,3613,66,24,92,1,53,2,3,0,8,6,0,0,0,0,7,2,7,7,6,26,23.1,13,2,11,3,19,12,0
2024,Fulham,Premier League,Tim Ream,1,1,898,1010,88.9,17990,6481,76,1,8,0,7,0,0,0,1,1,0,0,0,0,9,11,5,2,7,15,46.7,22,15,7,25,43,56,2
2024,Fulham,Premier League,Harrison Reed,7,1,499,598,83.4,7747,1752,34,9,19,0,17,0,1,0,3,2,0,0,0,0,12,6,12,3,10,25,40,18,9,9,9,30,20,0
2024,Fulham,Premier League,Bobby Reid,24,7,304,411,74,4193,1141,19,15,28,0,23,3,0,2,4,3,0,0,0,1,11,3,11,2,3,10,30,17,2,15,3,19,12,0
2024,Fulham,Premier League,Antonee Robinson,10,4,1009,1391,72.5,18167,6651,75,32,51,1,47,0,0,1,5,5,0,0,0,0,43,44,18,7,41,75,54.7,36,5,31,65,134,78,3
2024,Fulham,Premier League,Kenny Tete,3,1,310,391,79.3,4663,1761,32,6,8,2,6,0,0,0,0,0,0,0,0,0,14,14,5,2,9,17,52.9,7,3,4,16,37,31,0
2024,Fulham,Premier League,Adama Traoré,3,3,18,25,72,343,96,0,4,3,1,2,0,0,0,2,1,1,0,0,0,0,0,1,0,1,2,50,0,0,0,0,1,1,0
2024,Fulham,Premier League,Carlos Vinícius,9,5,46,62,74.2,587,115,1,0,9,1,8,0,0,0,1,1,0,0,0,0,2,0,1,2,0,4,0,4,0,4,0,3,1,0
2024,Fulham,Premier League,Willian,35,14,657,799,82.2,11567,2627,43,44,80,4,60,6,1,0,8,8,0,0,0,0,4,3,2,3,2,15,13.3,12,0,12,8,16,12,0
2024,Fulham,Premier League,Harry Wilson,30,10,375,488,76.8,5722,1171,25,21,53,4,35,3,7,2,8,7,0,0,1,0,12,8,8,3,11,23,47.8,23,3,20,10,29,9,0
